issue,title,primary finding,validator comment,status,root cause (URL),size,robotLabel
validation-260,Locking of funds inside `PoolInitializer` contract.,validation-128,,Satisfactory,,20,:robot:_primary
validation-212,Authorization Bypass Due to Expired Timestamp Check,validation-116,,Satisfactory,,20,:robot:_18_group
validation-213,Incorrect token transfers will be unexpected behaviors,validation-213,"Invalid, known issue [M-3](https://github.com/code-423n4/2024-10-ronin/blob/main/4naly3er-report.md#m-3--solmates-safetransferlib-does-not-check-for-token-contracts-existence)",Unsatisfactory,,21,:robot:_34_group
validation-165,The MixedQuoteRouter would never be able to quote prices ,validation-165,Relevant functionalities present [here](https://github.com/ronin-chain/katana-v3-contracts/blob/03c80179e04f40d96f06c451ea494bb18f2a58fc/src/periphery/lens/MixedRouteQuoterV1.sol#L110-L193),Unsatisfactory,,21,:robot:_primary
validation-30,"Anyone can access initialize() becoming the owner of the contract, bypassing critical functions. ",validation-30,"Invalid, known issue [L-8](https://github.com/code-423n4/2024-10-ronin/blob/main/4naly3er-report.md#l-8-initializers-could-be-front-run)",Unsatisfactory,,21,:robot:_107_group
findings-4,Missing gap in KatanaV3Pool,findings-4,,Unsatisfactory,,21,
validation-245,Misuse of Constants.CONTRACT_BALANCE as Input can lead to undesired fund flows and contract misbehavior,validation-245,,Unsatisfactory,,23,:robot:_primary
validation-66,Vulnerable Proxy Logic in KatanaV3PoolProxy.sol,validation-66,,Unsatisfactory,,23,:robot:_05_group
validation-247,Arbitrary Token Transfers without Validation  can lead to contract misbehavior or stuck funds.,validation-247,safe ERC20 operations are utilized accordingly within the `Payments.sol` contract,Unsatisfactory,,24,:robot:_primary
validation-205,Gas Limit and Looping vulnerability which can result to Denial of Service,validation-205,"Insufficient quality. Additionally, I don't see any loop when performing a withdrawal from the WETH contract, which in itself is OOS",Unsatisfactory,,24,:robot:_16_group
validation-204,Reentrancy vulnerability could lead to potentially draining of funds ,validation-204,"Invalid, reentrancy is not possible since there is the appropriate `isNotLocked/lock` modifier. Additionally, all issues lack concrete proof",Unsatisfactory,,24,:robot:_26_group
validation-69,Insufficient Flash Loan Protections in KatanaV3Pool.sol,validation-69,,Unsatisfactory,,24,:robot:_01_group
validation-68,Lack of Ownership Transfer Control in KatanaV3Factory.sol,validation-68,"Known issue, per code comments, `admin` is treated [as immutable](https://github.com/ronin-chain/katana-v3-contracts/blob/03c80179e04f40d96f06c451ea494bb18f2a58fc/src/core/KatanaV3Factory.sol#L57)",Unsatisfactory,,24,:robot:_primary
validation-243,Missing access Control over `initialize` function.,validation-30,,Unsatisfactory,,25,:robot:_primary
validation-192,Potential for misuse of the map Function can lead to funds being sent to the wrong address or unauthorized actions being taken.,validation-192,,Unsatisfactory,,25,:robot:_45_group
validation-158,function `v2SwapExactInput` has a missing deadline parameter,,"Invalid, deadline is present in the `AggregateRouter.sol` execute function [here](https://github.com/ronin-chain/katana-operation-contracts/blob/27f9d28e00958bf3494fa405a8a5acdcd5ecdc5d/src/aggregate-router/AggregateRouter.sol#L31), which is the main entry point that calls into dispatcher dispatch function ",Unsatisfactory,,25,:robot:_primary
validation-244,Reentrancy vulnerability can lead to unauthorized fund withdrawals and loss of contract assets.,validation-204,,Unsatisfactory,,26,:robot:_26_group
validation-235,"Potential Misuse of Hardcoded Constants (ADDR_SIZE, V3_FEE_SIZE, V3_POP_OFFSET) which can lead to incorrect logic or data misinterpretations",validation-235,,Unsatisfactory,,26,:robot:_primary
validation-201," Lack of Input Validation could lead to executing unintended commands, resulting in financial losses.",validation-201,IAggregateRouter.sol is OOS. ,Unsatisfactory,,26,:robot:_00_group
validation-103,`v3SwapRouter` is vulnerable to address collision,validation-51,,Satisfactory,,27,:robot:_37_group
validation-203,Lack of Access Control in deposit and withdraw Functions could lead to financial Loss and DoS,validation-203,"WETH contract is OOS, and the deposit and withdrawal are gated to the caller represented by `msg.sender`, users cannot call in place of  any arbitrary user",Unsatisfactory,,27,:robot:_23_group
validation-200,Transaction Expiration leading to potential confusion and financial discrepancies.,validation-200,"IAggregateRouter is OOS, and the deadline checks are checked appropriately via the [`checkDeadline` modifier](https://github.com/ronin-chain/katana-operation-contracts/blob/27f9d28e00958bf3494fa405a8a5acdcd5ecdc5d/src/aggregate-router/AggregateRouter.sol#L13-L16)",Unsatisfactory,,27,:robot:_primary
validation-191,Visibility of internal state variables leading to unauthorized actions,validation-191,There is no impact here whether or not `lockedBy` is private of public since it is simply used a reentrancy protection via the `isNotLocked` modifier ,Unsatisfactory,,27,:robot:_primary
validation-187,Authorization Bypass in Permit Functions could result in unauthorized transfers or allowance abuse.,validation-187,The necessary checks are performed within the `AllowanceTransfer` permit contract it cannot be performed arbitrarily,Unsatisfactory,,27,:robot:_primary
validation-184,Improper access control that can lead to potential fund loss or privilege escalation,validation-184,"There is no issue with dipatch being permisionless. It is the reponsibility of users to enter relevant inputs. More specifically, they are encouraged to use the AggregateRouter instead.",Unsatisfactory,,27,:robot:_23_group
validation-182,Unchecked external call failures resulting in potential fund loss or unexpected behavior.,validation-182,"Invalid, safe ERC20 operations are utilized accordingly within the `Payments.sol` contract",Unsatisfactory,,28,:robot:_34_group
validation-27,[H-1] Funds locked in contract that has payable functions but no `withdraw` function,validation-27,"Invalid/Informational/Low, known issue [L-7](https://github.com/code-423n4/2024-10-ronin/blob/main/4naly3er-report.md#l-7-empty-receivepayable-fallback-function-does-not-authenticate-requests). Additionally, users are responsible for performing swaps appropriately, and can utilize `sweep` via a multicall to clawback excess funds.",Unsatisfactory,,28,:robot:_21_group
validation-102,Use of `slot0` to get `sqrtPriceX96` can lead to price manipulation.,validation-102,"Likely invalid and OOS per [contest details](https://github.com/code-423n4/2024-10-ronin?tab=readme-ov-file#automated-findings--publicly-known-issues). This is likely a known uniswapv3 issue: 'All public known issues, including public audit reports of Uniswap V3 that affect Katana V3.' Many issues lack sufficient description of the issue as well, e.g. #178, #47",Satisfactory,,29,:robot:_03_group
validation-196,Potential Misuse of Governance Address,validation-196,This function does not exist,Unsatisfactory,,29,:robot:_primary
