issue,title,validator comment,status,size,Best
validation-64,QA Report,,Satisfactory,1,
validation-15,QA Report,Duplicate of #106,Satisfactory,3,
validation-3,QA Report,"Duplicate of #45, see comments there",Satisfactory,11,
validation-190,QA Report,,Unsatisfactory,12,
validation-263,QA Report,,Unsatisfactory,13,
validation-52,Gas Optimizations,,Unsatisfactory,13,
validation-54,QA Report,,Unsatisfactory,16,
validation-109,QA Report,See [here](https://app.roninchain.com/token/0xc99a6a985ed2cac1ef41640596c5a5f9f4e19ef5),Unsatisfactory,21,
validation-135,QA Report,,Unsatisfactory,22,
validation-13,Gas Optimizations,,Unsatisfactory,22,
validation-134,QA Report,,Satisfactory,102,
validation-185,QA Report,,Unsatisfactory,109,
validation-21,Gas Optimizations,,Unsatisfactory,115,
validation-43,QA Report,,Satisfactory,265,
validation-138,QA Report,,Satisfactory,371,
validation-180,QA Report,,Satisfactory,702,
findings-5,QA Report,,Satisfactory,875,
validation-131,QA Report,check,Unsatisfactory,411,
